sample	class	type	oxidation_state	T_K	IS_mm_s	IS_err	QS_mm_s	QS_err	Bhf_T	Bhf_err	site	site_total	model	reference	reference_url
Siderite	Anhydrous Carbonates	U		295.0	1.22		1.8				1	1	0	Dyar et al. 2006	https://www.researchgate.net/publication/234149051
Jarosite	Anhydrous sulfate	U		295.0	0.37		1.2				1	1	0	Dyar et al. 2006	https://www.researchgate.net/publication/234149051
Szomolnokite	Hydrous sulfates	U		295.0	1.28		2.75				1	2	0	Dyar et al. 2006	https://www.researchgate.net/publication/234149051
Melanterite	Hydrous sulfates	U		295.0	1.25		2.86				1	4	0	Dyar et al. 2006	https://www.researchgate.net/publication/234149051
Coquimbite	Hydrous sulfates	U		295.0	0.46		0.38				2	3	0	Dyar et al. 2006	https://www.researchgate.net/publication/234149051
Ilmenite	Simple oxide	U		295.0	1.04		0.7				1	2	0	Virgo et al. 1988	http://www.sciencedirect.com/science/article/pii/0016703788900038
Ilmenite	Simple oxide	U		295.0	0.2		0.27				2	2	0	Virgo et al. 1988	http://www.sciencedirect.com/science/article/pii/0016703788900038
Fayalite	Orthosilicates	U		295.0	1.14		3.1				1	1	0	Dyar et al. 2006	https://www.researchgate.net/publication/234149051
Forsterite	Orthosilicates	U		295.0	1.14		2.93				1	1	0	Dyar et al. 2006	https://www.researchgate.net/publication/234149051
Almandine	Orthosilicates	U		295.0	1.29		3.53				1	1	0	Dyar et al. 2006	https://www.researchgate.net/publication/234149051
Andradite	Orthosilicates	U		295.0	0.4		0.55				1	1	0	Dyar et al. 2006	https://www.researchgate.net/publication/234149051
Epidote	Disilicates	U		295.0	0.36		1.78				2	3	0	Kartashov et al. 2002	https://www.researchgate.net/publication/259480866
Beryl	Ring silicates	U		295.0	1.16		2.7				1	2	0	Dyar et al. 2006	https://www.researchgate.net/publication/234149051
Ferrosilite	Pyroxenes	U		295.0	1.18		2.49				1	2	0	Dowty & Lindsley 1973	http://www.minsocam.org/ammin/AM58/AM58_850.pdf
Diopside	Pyroxenes	U		295.0	1.16		1.87				1	2	0	DeGrave & Eeckhout 2003	https://link.springer.com/article/10.1007/s00269-003-0300-z
Tremolite-actinolite	Amphiboles	U		295.0	1.11		2.85				1	3	0	Burns & Greaves 1971	http://www.minsocam.org/ammin/AM56/AM56_2010.pdf
Kaersutite	Amphiboles	U		295.0	1.11		2.05				1	3	0	Dyar et al. 1993	http://www.minsocam.org/ammin/AM78/AM78_968.pdf
Talc	Sheet silicate	U		295.0	1.13		2.57				1	2	0	Coey et al. 1991	http://www.minsocam.org/ammin/AM76/AM76_1905.pdf
Phlogopite	Sheet silicate	U		295.0	1.13		2.57				1	4	0	Dyar et al. 2006	https://www.researchgate.net/publication/234149051
Feldspar	Framework silicates	U		295.0	1.14		2.12				1	6	0	Dyar et al. 2002	http://adsabs.harvard.edu/abs/2002LPI....33.1725D
Zircon	Orthosilicates	U		295.0	0.27		1.03				1	1	0	Carreto et al. 2001	https://link.springer.com/article/10.1023/A:1017988720055
Vivianite 2	Hydrated Phosphates	S	3	295.0	0.38		0.3				1	5	0	Rouzies and Millet 1992	https://link.springer.com/article/10.1007/BF02320295
Vivianite 2	Hydrated Phosphates	S	2	295.0	1.2		2.91				4	5	0	Rouzies and Millet 1992	https://link.springer.com/article/10.1007/BF02320295
Vivianite 375	Hydrated Phosphates	S	2	295.0	1.14		2.33				6	6	0	Rouzies and Millet 1992	https://link.springer.com/article/10.1007/BF02320295
