# velocidad_mm_s datos_norm ajuste_norm residuo cuentas_dobladas
8.431618824 0.9981229532 0.9989886911 -0.00086573792 418858.7588
8.524785882 0.9978777401 0.9990626065 -0.001184866343 418755.856
8.617952941 0.9984024726 0.99911388 -0.0007114073799 418976.0581
8.71112 0.9990275785 0.9991513211 -0.0001237426641 419238.3816
8.804287059 0.9988136369 0.999179832 -0.0003661950309 419148.6018
8.897454118 0.9986295044 0.9992022989 -0.0005727945519 419071.3312
8.990621176 0.9976898405 0.999220508 -0.001530667514 418677.0046
9.083788235 0.9954849652 0.9992356128 -0.003750647671 417751.7365
9.176955294 0.9992752546 0.999248387 2.686766083e-05 419342.318
9.270122353 0.9966284673 0.9992593659 -0.002630898691 418231.6031
9.363289412 1.000140809 0.9992689313 0.0008718772591 419705.5446
9.456456471 0.9991559129 0.9992773616 -0.0001214487506 419292.2367
9.549623529 1.000669709 0.999284865 0.00138484382 419927.4957
9.642790588 1.000068828 0.9992915996 0.0007772281432 419675.3381
9.735957647 0.9996195247 0.9992976882 0.0003218365682 419486.7897
9.829124706 0.9998887489 0.9993032273 0.0005855216103 419599.7687
9.922291765 0.9991053553 0.9993082941 -0.0002029388118 419271.0203
10.01545882 1.001565063 0.9993129509 0.002252112283 420303.228
10.10862588 0.9998766495 0.9993172487 0.0005594007835 419594.6912
10.20179294 0.9994341099 0.9993212299 0.0001128800165 419408.9811
10.29496 1.000948755 0.9993249297 0.00162382561 420044.5966
10.38812706 0.9973284103 0.9993283778 -0.001999967468 418525.3317
10.48129412 1.000711513 0.9993315996 0.001379913317 419945.0387
10.57446118 0.9993401859 0.9993346167 5.569141167e-06 419369.5662
10.66762824 0.9997118399 0.999337448 0.0003743919525 419525.5295
10.76079529 0.9982875439 0.9993401095 -0.00105256559 418927.8287
10.85396235 0.9998805972 0.9993426157 0.0005379815113 419596.3478
10.94712941 1.00088859 0.9993449789 0.001543611564 420019.3486
11.04029647 1.000177127 0.9993472102 0.0008299166483 419720.7855
11.13346353 0.9985193111 0.9993493194 -0.000830008295 419025.089
11.22663059 1.000009964 0.9993513153 0.0006586484855 419650.6361
11.31979765 0.998777495 0.9993532057 -0.0005757107088 419133.4349
11.41296471 1.000931349 0.9993549977 0.001576351701 420037.2923
11.50613176 0.9985522248 0.9993566977 -0.0008044728311 419038.9011
11.59929882 1.000357155 0.9993583114 0.0009988431846 419796.3335
11.69246588 1.001166721 0.9993598441 0.001806876737 420136.0651
11.78563294 1.000778234 0.9993613005 0.001416933546 419973.038
11.8788 0.9993995866 0.9993626852 3.690142103e-05 419394.4935
